Id,Taxonsorteringsordning,Valideringsstatus,Rödlistade,Artnamn,Vetenskapligt namn,Auktor,Antal,Enhet,Ålder/stadium,Kön,Aktivitet,Längd,Vikt,Metod,Huvudlokal,Lokalnamn,Ostkoordinat,Nordkoordinat,Noggrannhet,Diffusion,Län,Kommun,Provins,Församling,Externid,Startdatum,Starttid,Slutdatum,Sluttid,Kommentar,Privat kommentar,Ej återfunnen,Osäker artbestämning,Bestämningsmetod,Ospontan,Biotop,Biotopbeskrivning,Substrat,Vetenskapligt Substratnamn,Beskrivning,Substrat,Antal substrat,Substratbeskrivning,Djup min,Djup max,Höjd min,Höjd max,Publik samling,Privat samling,Samlingsnummer,Samlingsbeskrivning,Artbestämd av,Bestämningsår,Bekräftad av,Bekräftelseår,Redigeringsansvarig,Rapportör,Observatörer,DNA sekvens,Projektnamn,Area
96284152,93301,Ovaliderad,,Blomsterlupin,Lupinus polyphyllus,Lindl.,1,,,,,,,,,Vinnbergvasslan,1427018,6699460,10,0,Dalarna,Vansbro,Dalarna,Nås,,2021-06-08,,2021-06-08,,,,False,False,,False,,,,,,,,,,,,,, ,,,,,,,Trafikverket,Charles Campbell,Charles Campbell,,Trafikverkets inventeringar av arter i statliga vägmiljöer,1
96284153,93301,Ovaliderad,,Blomsterlupin,Lupinus polyphyllus,Lindl.,1,,,,,,,,,Vinnbergvasslan,1426884,6699722,10,0,Dalarna,Vansbro,Dalarna,Nås,,2021-06-08,,2021-06-08,,,,False,False,,False,,,,,,,,,,,,,, ,,,,,,,Trafikverket,Charles Campbell,Charles Campbell,,Trafikverkets inventeringar av arter i statliga vägmiljöer,1
96284154,93301,Ovaliderad,,Blomsterlupin,Lupinus polyphyllus,Lindl.,1,,,,,,,,,Vinnbergvasslan,1426883,6699698,10,0,Dalarna,Vansbro,Dalarna,Nås,,2021-06-08,,2021-06-08,,,,False,False,,False,,,,,,,,,,,,,, ,,,,,,,Trafikverket,Charles Campbell,Charles Campbell,,Trafikverkets inventeringar av arter i statliga vägmiljöer,1
97086934,93301,Ovaliderad,,Blomsterlupin,Lupinus polyphyllus,Lindl.,noterad, , , ,,,, ,,Lindesnäs,1430217,6690483,50,0,Dalarna,Vansbro,Dalarna,Nås,,2021-07-23,,2021-07-23,,,,False,False, ,False,,,,,,,,,,,,,, ,,,,,,,Håkan Lernefalk,Håkan Lernefalk,Håkan Lernefalk,,,1
87476354,93301,Ovaliderad,,Blomsterlupin,Lupinus polyphyllus,Lindl.,noterad, , , ,,,, ,,Haga,1426917,6703509,100,0,Dalarna,Vansbro,Dalarna,Nås,,2020-08-15,,2020-08-15,,,,False,False, ,False,,,,,,,,,,,,,, ,,,,,,,Anders Malmsten,Anders Malmsten,Anders Malmsten,,,1
78979086,93301,Godkänd baserat på observatörens uppgifter,,Blomsterlupin,Lupinus polyphyllus,Lindl.,noterad, , , ,,,, ,,Håen,1424087,6674932,100,0,Dalarna,Ludvika,Dalarna,Säfsnäs,,2019-07-16,,2019-07-16,,,,False,False, ,False,,,,,,,,,,,,,, ,,,,,,,Urban Gunnarsson,Urban Gunnarsson,"Thorleif Joelson, Ulf Swenson, Urban Gunnarsson",,Dalafloran inventeringsläger 2019,1
78950491,93301,Ovaliderad,,Blomsterlupin,Lupinus polyphyllus,Lindl.,noterad, , , ,,,, ,,Frösaråsen,1426215,6679014,50,0,Dalarna,Ludvika,Dalarna,Säfsnäs,,2019-07-15,,2019-07-15,,,,False,False, ,False,,"betesmark, vägkant och dike",,,,,,,,,,,, ,,,,,,,Johanne Maad,Johanne Maad,"Ulf Swenson, Mats Nordhag, Johanne Maad",,Dalafloran inventeringsläger 2019,1
78949897,93301,Ovaliderad,,Blomsterlupin,Lupinus polyphyllus,Lindl.,noterad, ,överblommad, ,,,, ,,Vattrangi,1416959,6663626,67,0,Dalarna,Ludvika,Dalarna,Säfsnäs,,2019-07-14,,2019-07-14,,,,False,False, ,False,,Ruderatmark,,,,,,,,,,,, ,,,,,,,Ulf Swenson,Ulf Swenson,"Mats Nordhag, Johanne Maad, Ulf Swenson",,Dalafloran inventeringsläger 2019,1
62524813,93301,Ovaliderad,,Blomsterlupin,Lupinus polyphyllus,Lindl.,noterad,,,,,,,,,Lindesnäs,1429284,6690960,100,0,Dalarna,Vansbro,Dalarna,Nås,,2015-08-20,,2015-08-20,,Dalafloran [943],,False,False,,False,,ängsmark,,,,,,,,,,,, ,,,,,,,Inge Palmqvist,Inge Palmqvist,Inge Palmqvist,,Dalaflorans databas,1
96284114,93301,Ovaliderad,,Blomsterlupin,Lupinus polyphyllus,Lindl.,75,,,,,,,,,Hån,1423529,6674566,10,0,Dalarna,Ludvika,Dalarna,Säfsnäs,,2021-06-08,,2021-06-08,,,,False,False,,False,,,,,,,,,,,,,, ,,,,,,,Trafikverket,Charles Campbell,Charles Campbell,,Trafikverkets inventeringar av arter i statliga vägmiljöer,1
96284113,93301,Ovaliderad,,Blomsterlupin,Lupinus polyphyllus,Lindl.,100,,,,,,,,,Dymossen,1424963,6675940,10,0,Dalarna,Ludvika,Dalarna,Säfsnäs,,2021-06-08,,2021-06-08,,,,False,False,,False,,,,,,,,,,,,,, ,,,,,,,Trafikverket,Charles Campbell,Charles Campbell,,Trafikverkets inventeringar av arter i statliga vägmiljöer,1
96284111,93301,Ovaliderad,,Blomsterlupin,Lupinus polyphyllus,Lindl.,100,,,,,,,,,Frösaråsen,1426121,6678480,10,0,Dalarna,Ludvika,Dalarna,Säfsnäs,,2021-06-08,,2021-06-08,,,,False,False,,False,,,,,,,,,,,,,, ,,,,,,,Trafikverket,Charles Campbell,Charles Campbell,,Trafikverkets inventeringar av arter i statliga vägmiljöer,1
96284110,93301,Ovaliderad,,Blomsterlupin,Lupinus polyphyllus,Lindl.,100,,,,,,,,,NA,1427699,6697331,10,0,Dalarna,Vansbro,Dalarna,Nås,,2021-06-08,,2021-06-08,,,,False,False,,False,,,,,,,,,,,,,, ,,,,,,,Trafikverket,Charles Campbell,Charles Campbell,,Trafikverkets inventeringar av arter i statliga vägmiljöer,1
